model,text_repr,modality,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_sarcastic,recall_sarcastic,f1_sarcastic,accuracy_std,precision_weighted_std,recall_weighted_std,f1_weighted_std,precision_sarcastic_std,recall_sarcastic_std,f1_sarcastic_std
logreg,bert,T,64.20289855072464,64.68574341259763,64.20289855072464,64.20740276771396,64.36004779534191,65.04161143590473,64.45962315896426,4.011116667564646,4.307353754859982,4.011116667564646,4.024669861433102,6.868236532531389,2.938979137950084,3.3601103222478885
logreg,bert,T+A,65.65217391304347,65.992801422052,65.65217391304347,65.61906032787127,66.01117283322083,64.97438514652238,65.28357346741636,3.7401414204533197,4.024169030202704,3.7401414204533197,3.727551608754856,7.8535135680744705,3.7333185922204737,4.778040984993618
logreg,bert,T+A+V,72.31884057971014,72.618407268891,72.31884057971014,72.2702634494273,72.11839644204676,72.99504851686797,72.35106314377258,3.088010978646746,3.43031045455324,3.088010978646746,3.1548021217154676,5.1547478519467695,5.499433149291626,3.636204179344458
logreg,tfidf,T,61.30434782608695,61.63376131913911,61.30434782608695,61.3489168933746,61.042946822997976,61.30108895332679,61.05104883546903,3.7958843054228377,3.6076101213230096,3.7958843054228377,3.7400149433256664,6.280822651551171,6.014064645578606,5.563349632862609
logreg,tfidf,T+A,62.028985507246375,62.4348174359669,62.028985507246375,62.05853300117476,62.587558931046374,59.736337558342925,60.98768119508418,4.991065321079002,5.121711894548303,4.991065321079002,5.0070248613241795,7.293959047766058,5.733451057084671,5.760142280540427
logreg,tfidf,T+A+V,67.3913043478261,67.77929981747101,67.3913043478261,67.42573397302667,67.8418417640689,66.76622814198917,67.1391078458284,3.2729245769960036,3.415616653996496,3.2729245769960036,3.252316515257251,6.024535614587977,2.0975819667919953,2.9705169994062515
rf,bert,T,64.4927536231884,65.15383719667315,64.4927536231884,64.4835384882758,63.49539946092948,69.01007047083678,65.91938101163967,3.915726401769942,3.961702257639891,3.915726401769942,3.894779527903973,5.324926764423608,5.008029591202303,3.5806153625028663
rf,bert,T+A,66.52173913043478,67.52445176229203,66.52173913043478,66.33908358403212,64.57433462610221,74.3612939337763,68.85133175657842,4.032008041519866,4.431952922447745,4.032008041519866,4.115613613238669,4.2982333689228405,6.683837776490292,3.388955330062525
rf,bert,T+A+V,69.56521739130434,70.80361455196498,69.56521739130434,69.4556853810024,67.27698681540721,77.01095318292028,71.48197535424427,6.283908228602549,7.203352985206431,6.283908228602549,6.274446064827032,6.516786953729118,9.83404834328112,6.249369241827627
rf,tfidf,T,60.43478260869565,61.26420777601661,60.43478260869565,60.43296911822749,61.47854804796309,58.43471898193671,59.52483283364164,4.457552608472376,4.416120199995558,4.457552608472376,4.40327495332957,8.51044530805491,4.484110345787674,4.727386462623721
rf,tfidf,T+A,64.92753623188406,66.17716808730222,64.92753623188406,64.58234407173084,62.831465919701216,74.88407648720691,68.01074583960754,4.410180885421143,5.194674311239845,4.410180885421143,4.591077358493852,5.73877280214079,6.477976670453871,3.7017505381844233
rf,tfidf,T+A+V,67.2463768115942,68.69590876467322,67.2463768115942,67.10202703843079,66.00250814503394,73.26325133340652,68.83325635503718,6.10418541700078,6.645478980786943,6.10418541700078,6.169530963673876,5.994678783072613,11.251977262926946,5.976738998602963
svm,bert,T,65.65217391304347,66.00355419834091,65.65217391304347,65.58995744157126,64.00593628339624,70.903234469507,67.22205919286212,2.318840579710143,2.070994787319124,2.318840579710143,2.2866845151840107,4.593999568280033,2.7489814838655566,3.4924048384434974
svm,bert,T+A,65.5072463768116,65.70540675436447,65.5072463768116,65.48176778482015,64.42844096542726,68.59799955122539,66.38691531900325,2.656565620264258,2.6996504573857534,2.656565620264258,2.649530453702754,3.816065502390009,4.14406403349221,3.490678032722407
svm,bert,T+A+V,72.02898550724638,72.22493459400603,72.02898550724638,72.00677159976419,70.9821815489131,74.91834266773809,72.83011698616795,3.768115942028983,4.005143352376716,3.768115942028983,3.8564718265300164,3.9576544811218435,2.7414240741749545,2.5384268564286954
svm,tfidf,T,60.43478260869565,61.233752303125414,60.43478260869565,60.26849732940368,59.35196573221934,67.64226996712505,62.972707043003446,4.011116667564644,3.3480406985367623,4.011116667564644,4.094662227523205,6.603578596792308,4.02226983014867,4.321793810496291
svm,tfidf,T+A,64.34782608695653,65.0624349366644,64.34782608695653,64.33132643861764,65.66644633137312,62.80209881092137,63.85473153718628,6.600172485064175,6.526136185384648,6.600172485064175,6.617105140413765,9.381816513596515,4.4863093659886815,5.711949201935725
svm,tfidf,T+A+V,67.68115942028984,68.19915499580335,67.68115942028984,67.66548860193562,68.96751384183213,65.52348163608477,66.95936401906552,3.877996568191206,3.6620697085943066,3.877996568191206,3.851199054618611,4.911241604736816,4.405880177615333,2.579636948582483
